Source;Target;Type;Id;Weight
0;136;Undirected;0;1
0;154;Undirected;1;1
0;109;Undirected;2;1
0;50;Undirected;3;1
0;80;Undirected;4;1
0;130;Undirected;5;1
0;41;Undirected;6;1
1;61;Undirected;7;1
1;50;Undirected;8;1
1;36;Undirected;9;1
2;136;Undirected;10;1
2;105;Undirected;11;1
2;154;Undirected;12;1
2;50;Undirected;13;1
2;152;Undirected;14;1
2;80;Undirected;15;1
2;41;Undirected;16;1
3;104;Undirected;17;1
3;50;Undirected;18;1
4;136;Undirected;19;1
4;154;Undirected;20;1
4;70;Undirected;21;1
4;132;Undirected;22;1
4;80;Undirected;23;1
4;168;Undirected;24;1
4;41;Undirected;25;1
5;217;Undirected;26;1
5;130;Undirected;27;1
6;38;Undirected;28;1
6;50;Undirected;29;1
7;173;Undirected;30;1
7;177;Undirected;31;1
7;118;Undirected;32;1
8;136;Undirected;33;1
8;154;Undirected;34;1
8;53;Undirected;35;1
8;50;Undirected;36;1
9;105;Undirected;37;1
9;154;Undirected;38;1
9;84;Undirected;39;1
9;106;Undirected;40;1
9;128;Undirected;41;1
9;50;Undirected;42;1
9;152;Undirected;43;1
9;130;Undirected;44;1
9;41;Undirected;45;1
9;136;Undirected;46;1
9;70;Undirected;47;1
9;80;Undirected;48;1
9;141;Undirected;49;1
10;105;Undirected;50;1
10;136;Undirected;51;1
10;25;Undirected;52;1
10;61;Undirected;53;1
10;70;Undirected;54;1
10;223;Undirected;55;1
10;50;Undirected;56;1
10;80;Undirected;57;1
10;8;Undirected;58;1
10;130;Undirected;59;1
10;133;Undirected;60;1
10;41;Undirected;61;1
11;192;Undirected;62;1
11;84;Undirected;63;1
11;96;Undirected;64;1
11;106;Undirected;65;1
11;50;Undirected;66;1
11;48;Undirected;67;1
11;68;Undirected;68;1
11;130;Undirected;69;1
11;41;Undirected;70;1
11;136;Undirected;71;1
11;78;Undirected;72;1
11;191;Undirected;73;1
11;70;Undirected;74;1
11;30;Undirected;75;1
12;50;Undirected;76;1
12;204;Undirected;77;1
13;81;Undirected;78;1
13;179;Undirected;79;1
13;130;Undirected;80;1
14;159;Undirected;81;1
14;172;Undirected;82;1
14;120;Undirected;83;1
14;80;Undirected;84;1
14;130;Undirected;85;1
15;200;Undirected;86;1
16;136;Undirected;87;1
17;200;Undirected;88;1
17;68;Undirected;89;1
18;192;Undirected;90;1
18;136;Undirected;91;1
18;184;Undirected;92;1
18;144;Undirected;93;1
18;42;Undirected;94;1
18;47;Undirected;95;1
18;200;Undirected;96;1
18;130;Undirected;97;1
18;94;Undirected;98;1
18;89;Undirected;99;1
18;143;Undirected;100;1
19;11;Undirected;101;1
19;154;Undirected;102;1
19;50;Undirected;103;1
19;80;Undirected;104;1
19;112;Undirected;105;1
19;130;Undirected;106;1
19;41;Undirected;107;1
20;136;Undirected;108;1
20;154;Undirected;109;1
20;109;Undirected;110;1
20;189;Undirected;111;1
20;163;Undirected;112;1
20;50;Undirected;113;1
20;80;Undirected;114;1
21;136;Undirected;115;1
21;49;Undirected;116;1
21;109;Undirected;117;1
21;189;Undirected;118;1
21;36;Undirected;119;1
21;111;Undirected;120;1
22;154;Undirected;121;1
22;106;Undirected;122;1
22;104;Undirected;123;1
22;50;Undirected;124;1
22;80;Undirected;125;1
22;130;Undirected;126;1
22;77;Undirected;127;1
22;164;Undirected;128;1
22;41;Undirected;129;1
23;173;Undirected;130;1
23;200;Undirected;131;1
24;192;Undirected;132;1
24;173;Undirected;133;1
24;136;Undirected;134;1
24;45;Undirected;135;1
24;200;Undirected;136;1
24;44;Undirected;137;1
24;118;Undirected;138;1
24;206;Undirected;139;1
24;156;Undirected;140;1
24;174;Undirected;141;1
24;63;Undirected;142;1
25;136;Undirected;143;1
25;87;Undirected;144;1
25;84;Undirected;145;1
25;50;Undirected;146;1
25;80;Undirected;147;1
25;69;Undirected;148;1
25;194;Undirected;149;1
25;41;Undirected;150;1
26;136;Undirected;151;1
26;51;Undirected;152;1
26;99;Undirected;153;1
27;136;Undirected;154;1
27;154;Undirected;155;1
27;84;Undirected;156;1
27;203;Undirected;157;1
27;50;Undirected;158;1
27;98;Undirected;159;1
27;41;Undirected;160;1
28;154;Undirected;161;1
28;120;Undirected;162;1
28;50;Undirected;163;1
29;80;Undirected;164;1
30;136;Undirected;165;1
30;11;Undirected;166;1
30;169;Undirected;167;1
30;50;Undirected;168;1
30;168;Undirected;169;1
30;22;Undirected;170;1
30;41;Undirected;171;1
31;136;Undirected;172;1
31;50;Undirected;173;1
31;63;Undirected;174;1
32;50;Undirected;175;1
33;136;Undirected;176;1
33;50;Undirected;177;1
34;136;Undirected;178;1
34;154;Undirected;179;1
34;45;Undirected;180;1
34;61;Undirected;181;1
34;50;Undirected;182;1
34;80;Undirected;183;1
34;130;Undirected;184;1
35;105;Undirected;185;1
35;84;Undirected;186;1
35;103;Undirected;187;1
35;50;Undirected;188;1
35;130;Undirected;189;1
35;69;Undirected;190;1
35;41;Undirected;191;1
35;136;Undirected;192;1
35;80;Undirected;193;1
35;37;Undirected;194;1
35;111;Undirected;195;1
36;136;Undirected;196;1
36;84;Undirected;197;1
36;50;Undirected;198;1
36;123;Undirected;199;1
37;87;Undirected;200;1
37;154;Undirected;201;1
37;50;Undirected;202;1
37;130;Undirected;203;1
37;213;Undirected;204;1
37;136;Undirected;205;1
37;157;Undirected;206;1
37;197;Undirected;207;1
37;18;Undirected;208;1
37;78;Undirected;209;1
37;101;Undirected;210;1
37;70;Undirected;211;1
37;181;Undirected;212;1
38;84;Undirected;213;1
38;6;Undirected;214;1
38;50;Undirected;215;1
39;136;Undirected;216;1
39;161;Undirected;217;1
40;136;Undirected;218;1
40;62;Undirected;219;1
41;25;Undirected;220;1
41;154;Undirected;221;1
41;11;Undirected;222;1
41;103;Undirected;223;1
41;106;Undirected;224;1
41;50;Undirected;225;1
41;95;Undirected;226;1
41;164;Undirected;227;1
41;213;Undirected;228;1
41;194;Undirected;229;1
41;31;Undirected;230;1
