Id,tooltip,label,Longitud,Latitud
0,0,LIT,-92.22,34.73
1,1,CAK,-81.44,40.92
2,2,ALB,-73.80,42.73
3,3,CHO,-78.45,38.13
4,4,ABQ,-106.61,35.04
5,5,AEX,-92.55,31.33
6,6,APN,-83.55,45.08
7,7,ACV,-124.10,40.98
8,8,AVL,-82.54,35.44
9,9,AUS,-97.67,30.19
10,10,GRB,-88.13,44.48
11,11,BWI,-76.67,39.18
12,12,BGR,-68.82,44.80
13,13,PAH,-88.77,37.06
14,14,PFN,-85.68,30.22
15,15,BLI,-122.53,48.80
16,16,BJI,-94.93,47.52
17,17,BTM,-112.50,45.95
18,18,BIL,-108.53,45.80
19,19,BHM,-86.75,33.57
20,20,FNT,-83.74,42.97
21,21,BIS,-100.75,46.78
22,22,LEX,-84.61,38.04
23,23,BUR,-118.35,34.20
24,24,BOI,-116.22,43.56
25,25,BDL,-72.68,41.94
26,26,BRD,-94.14,46.40
27,27,BUF,-78.73,42.94
28,28,BTV,-73.15,44.47
29,29,AGS,-81.97,33.37
30,30,LAN,-84.58,42.78
31,31,CID,-91.71,41.88
32,32,BMI,-88.92,40.48
33,33,CWA,-89.68,44.77
34,34,CHS,-80.04,32.90
35,35,CLT,-80.93,35.22
36,36,TVC,-85.58,44.74
37,37,ORD,-87.90,41.98
38,38,CIU,-84.47,46.25
39,39,EAU,-91.48,44.87
40,40,HIB,-92.83,47.38
41,41,CVG,-84.67,39.05
42,42,HVR,-109.77,48.55
43,43,COS,-104.72,38.82
44,44,DFW,-97.04,32.90
45,45,MSN,-89.34,43.14
46,46,MGM,-86.40,32.30
47,47,GDV,-104.68,47.13
48,48,DEN,-104.67,39.86
49,49,DSM,-93.66,41.53
50,50,DTW,-83.35,42.21
51,51,DVL,-98.90,48.12
52,52,DHN,-85.45,31.32
53,53,DLH,-92.18,46.83
54,54,EGE,-106.92,39.63
55,55,VPS,-86.53,30.48
56,56,ELP,-106.38,31.80
57,57,ELM,-76.90,42.17
58,58,PLN,-84.80,45.57
59,59,OMA,-95.90,41.30
60,60,EUG,-123.22,44.12
61,61,EVV,-87.53,38.04
62,62,INL,-93.40,48.57
63,63,IDA,-112.07,43.52
64,64,FOD,-94.19,42.55
65,65,FLL,-80.15,26.07
66,66,FAT,-119.72,36.77
67,67,GNV,-82.27,29.68
68,68,BZN,-111.15,45.78
69,69,MKE,-87.90,42.95
70,70,IAH,-95.34,29.98
